timestamp,temperature,humidity,light,distance
2026-08-15 08:37:21,27,71,0,233.852
2026-08-15 08:37:26,27,71,0,234.362
2026-08-15 08:37:31,27,71,0,234.243
2026-08-15 08:37:36,27,71,0,234.328
2026-08-15 08:37:41,27,71,0,233.988
2026-08-15 08:37:46,27,71,0,234.362
2026-08-15 08:37:51,27,71,0,234.311
2026-08-15 08:37:56,27.1,71,0,233.903
2026-08-15 08:38:01,27.1,71,0,234.362
2026-08-15 08:38:06,27.1,71,0,234.43
2026-08-15 08:38:11,27.1,71,0,234.43
2026-08-15 08:38:16,27.1,71,657,234.379
2026-08-15 08:38:21,27.1,71,0,70.958
2026-08-15 08:38:26,27.1,71,198,70.856
2026-08-15 08:38:31,27.1,71,160,70.958
